word	sound
good	ɡʊd
place	pleɪs
support	səˈpɔːt
back	bæk
again	əˈɡen
against	əˈɡenst
system	ˈsɪstəm
called	kɔːld
much	mʌtʃ
still	stɪl
change	tʃeɪndʒ
say	seɪ
point	pɔɪnt
us	əz
group	ɡruːp
day	deɪ
three	θriː
know	nəʊ
help	help
As	æz
last	lɑːst
each	iːtʃ
around	əˈraʊnd
edits	ˈedɪts
says	sez
life	laɪf
link	lɪŋk
too	tuː
left	left
very	ˈverɪ
students	ˈstjuːd(ə)nts
team	tiːm
sources	ˈsɔːsɪz
off	ɒf
well	wel
down	daʊn
section	ˈsekʃ(ə)n
take	teɪk
does	dɒz
really	ˈrɪəlɪ
discussion	dɪˈskʌʃ(ə)n
either	ˈaɪðə
show	ʃəʊ
public	ˈpʌblɪk
including	ɪnˈkluːdɪŋ
set	set
game	ɡeɪm
policy	ˈpɒləsɪ
later	ˈleɪtə
need	niːd
program	ˈprəʊɡræm
others	ˈʌðəz
source	sɔːs
research	rɪˈsɜːtʃ
area	ˈeərɪə
children	ˈtʃɪldr(ə)n
why	waɪ
family	ˈfæm(ə)lɪ
making	ˈmeɪkɪŋ
deletion	dɪˈliːʃ(ə)n
something	ˈsʌmθɪŋ
content	kənˈtent
school	skuːl
added	ˈædɪd
found	faʊnd
until	ʌnˈtɪl
within	wɪðˈɪn
following	ˈfɒləʊɪŋ
better	ˈbetə
process	ˈprəʊses
history	ˈhɪst(ə)rɪ
You	jʊ
given	ˈɡɪv(ə)n
question	ˈkwestʃ(ə)n
women	ˈwɪmɪn
For	fɔː
country	ˈkʌntrɪ
company	ˈkʌmpənɪ
data	ˈdeɪtə
part	pɑːt
include	ɪnˈkluːd
site	saɪt
pages	ˈpeɪdʒɪz
home	həʊm
business	ˈbɪznəs
having	ˈhævɪŋ
American	əˈmerɪkən
put	pʊt
issue	ˈɪʃuː
different	ˈdɪf(ə)r(ə)nt
world	wɜːld
New	njuː
things	θɪŋz
list	lɪst
power	ˈpaʊə
above	əˈbʌv
best	best
future	ˈfjuːtʃə
read	riːd
report	rɪˈpɔːt
project	prəˈdʒekt
find	faɪnd
problem	ˈprɒbləm
book	bʊk
though	ðəʊ
law	lɔː
today	təˈdeɪ
We	wɪ
four	fɔː
links	lɪŋks
community	kəˈmjuːnɪtɪ
several	ˈsev(ə)r(ə)l
film	fɪlm
So	səʊ
free	friː
money	ˈmʌnɪ
line	laɪn
service	ˈsɜːvɪs
actually	ˈæktʃʊəlɪ
second	ˈsekənd
go	ɡəʊ
deleted	dɪˈliːtɪd
editing	ˈedɪtɪŋ
often	ˈɒf(ə)n
every	ˈevrɪ
course	kɔːs
season	ˈsiːz(ə)n
possible	ˈpɒsəb(ə)l
That	ðæt
US	əz
war	wɔː
title	ˈtaɪt(ə)l
local	ˈləʊk(ə)l
once	wʌns
study	ˈstʌdɪ
whether	ˈweðə
University	ˌjuːnɪˈvɜːsɪtɪ
yet	jet
already	ɔːlˈredɪ
issues	ˈɪʃuːz
got	ɡɒt
man	mæn
Please	pliːz
services	ˈsɜːvɪsɪz
look	lʊk
questions	ˈkwestʃənz
On	ɒn
When	wen
removed	rɪˈmuːvd
men	men
They	ðeɪ
form	fɔːm
water	ˈwɔːtə
view	vjuː
English	ˈɪŋɡlɪʃ
review	rɪˈvjuː
person	ˈpɜːs(ə)n
important	ɪmˈpɔːt(ə)nt
changes	ˈtʃeɪndʒɪz
further	ˈfɜːðə
What	wɒt
own	əʊn
States	steɪts
present	prɪˈzent
welcome	ˈwelkəm
might	maɪt
development	dɪˈveləpmənt
done	dʌn
must	mʌst
someone	ˈsʌmwʌn
told	təʊld
early	ˈɜːlɪ
British	ˈbrɪtɪʃ
material	məˈtɪərɪəl
position	pəˈzɪʃ(ə)n
means	miːnz
created	kriːˈeɪtɪd
please	pliːz
thing	θɪŋ
text	tekst
high	haɪ
itself	ɪtˈself
long	lɒŋ
number	ˈnʌmbə
started	ˈstɑːtɪd
won	wʌn
great	ɡreɪt
start	stɑːt
experience	ɪkˈspɪərɪəns
China	ˈtʃaɪnə
party	ˈpɑːtɪ
May	meɪ
current	ˈkʌr(ə)nt
building	ˈbɪldɪŋ
play	pleɪ
always	ˈɔːlweɪz
anything	ˈenɪθɪŋ
want	wɒnt
fact	fækt
series	ˈsɪəriːz
old	əʊld
included	ɪnˈkluːdɪd
provide	prəˈvaɪd
among	əˈmʌŋ
story	ˈstɔːrɪ
police	pəˈliːs
There	ðeə
media	ˈmiːdɪə
days	deɪz
never	ˈnevə
probably	ˈprɒb(ə)blɪ
No	nəʊ
add	æd
next	nekst
death	deθ
took	tʊk
market	ˈmɑːkɪt
city	ˈsɪtɪ
field	fiːld
music	ˈmjuːzɪk
same	seɪm
working	ˈwɜːkɪŋ
language	ˈlæŋɡwɪdʒ
problems	ˈprɒbləmz
needs	niːdz
reverted	rɪˈvɜːtɪd
England	ˈɪŋɡlənd
less	les
control	kənˈtrəʊl
London	ˈlʌndən
run	rʌn
image	ˈɪmɪdʒ
record	rɪˈkɔːd
believe	bɪˈliːv
former	ˈfɔːmə
comment	ˈkɒment
general	ˈdʒen(ə)rəl
don	dɒn
end	end
After	ˈɑːftə
All	ɔːl
education	ˌedʒʊˈkeɪʃ(ə)n
recent	riːsnt
little	ˈlɪt(ə)l
political	pəˈlɪtɪk(ə)l
known	nəʊn
open	ˈəʊp(ə)n
move	muːv
evidence	ˈevɪd(ə)ns
thought	θɔːt
test	test
message	ˈmesɪdʒ
rather	ˈrɑːðə
members	ˈmembəz
simply	ˈsɪmplɪ
John	dʒɒn
week	wiːk
State	steɪt
real	rɪəl
small	smɔːl
user	ˈjuːzə
available	əˈveɪləb(ə)l
reason	ˈriːzən
staff	stɑːf
account	əˈkaʊnt
clear	klɪə
Image	ˈɪmɪdʒ
saying	ˈseɪɪŋ
plan	plæn
words	wɜːdz
works	wɜːks
changed	tʃeɪndʒd
doing	ˈduːɪŋ
lead	led
million	ˈmɪlɪən
house	haʊs
give	ɡɪv
term	tɜːm
full	fʊl
keep	kiːp
website	ˈwebsaɪt
top	tɒp
March	mɑːtʃ
enough	ɪˈnʌf
themselves	ðəmˈselvz
action	ˈækʃ(ə)n
come	kʌm
provided	prəˈvaɪdɪd
five	faɪv
near	nɪə
job	dʒɒb
feel	fiːl
points	pɔɪnts
One	wʌn
ever	ˈevə
leave	liːv
results	rɪˈzʌlts
technology	tekˈnɒlədʒɪ
At	æt
date	deɪt
Thank	θæŋk
With	wɪð
subject	səbˈdʒekt
became	bɪˈkeɪm
times	taɪmz
vote	vəʊt
countries	ˈkʌntrɪz
going	ˈɡəʊɪŋ
seen	siːn
outside	ˌaʊtˈsaɪd
taking	ˈteɪkɪŋ
level	ˈlev(ə)l
word	wɜːd
national	ˈnæʃ(ə)n(ə)l
event	ɪˈvent
WP	p
health	helθ
call	kɔːl
along	əˈlɒŋ
class	klɑːs
America	əˈmerɪkə
January	ˈdʒænjʊ(ə)rɪ
large	lɑːdʒ
programs	ˈprəʊɡræmz
Talk	tɔːk
April	ˈeɪpr(ə)l
major	ˈmeɪdʒə
UK	ˌjuːˈkeɪ
court	kɔːt
together	təˈɡeðə
vandalism	ˈvændəlɪzəm
period	ˈpɪərɪəd
getting	ˈɡetɪŋ
example	ɪɡˈzɑːmp(ə)l
claim	kleɪm
French	frentʃ
Australia	ɒˈstreɪlɪə
himself	hɪmˈself
areas	ˈeərɪəz
design	dɪˈzaɪn
writing	ˈraɪtɪŋ
interest	ˈɪnt(ə)rəst
body	ˈbɒdɪ
reported	rɪˈpɔːtɪd
June	dʒuːn
population	ˌpɒpjʊˈleɪʃ(ə)n
states	steɪts
companies	ˈkʌmpənɪz
wrong	rɒŋ
t	tiː
perhaps	pəˈhæps
order	ˈɔːdə
came	keɪm
industry	ˈɪndəstrɪ
September	sepˈtembə
July	dʒuːlaɪ
Russia	ˈrʌʃə
land	lænd
office	ˈɒfɪs
City	ˈsɪtɪ
true	truː
face	feɪs
address	əˈdres
sure	ʃʊə
everyone	ˈevrɪwʌn
began	bɪˈɡæn
president	ˈprezɪd(ə)nt
training	ˈtreɪnɪŋ
side	saɪd
lost	lɒst
groups	ɡruːps
care	keə
space	speɪs
model	ˈmɒd(ə)l
per	pɜː
August	ˈɔːɡəst
October	ɒkˈtəʊbə
California	ˌkælɪˈfɔːnɪə
France	frɑːns
region	ˈriːdʒ(ə)n
While	waɪl
School	skuːl
request	rɪˈkwest
military	ˈmɪlɪt(ə)rɪ
nothing	ˈnʌθɪŋ
food	fuːd
events	ɪˈvents
House	haʊs
individual	ˌɪndɪˈvɪdʒʊəl
ask	ɑːsk
decision	dɪˈsɪʒ(ə)n
policies	ˈpɒləsɪz
November	nəʊˈvembə
books	bʊks
received	rɪˈsiːvd
album	ˈælbəm
makes	meɪks
matter	ˈmætə
based	beɪst
December	dɪˈsembə
contributions	ˌkɒntrɪˈbjuːʃ(ə)nz
de	də
mean	miːn
news	njuːz
written	ˈrɪt(ə)n
images	ˈɪmɪdʒɪz
systems	ˈsɪstəmz
various	ˈveərɪəs
few	fjuː
held	held
below	bɪˈləʊ
tag	tæɡ
played	pleɪd
common	ˈkɒmən
Europe	ˈjʊərəp
performance	pəˈfɔːməns
She	ʃɪ
regarding	rɪˈɡɑːdɪŋ
production	prəˈdʌkʃ(ə)n
shows	ʃəʊz
God	ɡɒd
India	ˈɪndɪə
meeting	ˈmiːtɪŋ
away	əˈweɪ
comments	ˈkɒments
love	lʌv
stop	stɒp
practice	ˈpræktɪs
reference	ˈrefr(ə)ns
rules	ruːlz
head	hed
editors	ˈedɪtəz
users	ˈjuːzəz
anyone	ˈenɪwʌn
let	let
statement	ˈsteɪtmənt
Thanks	θæŋks
schools	skuːlz
appropriate	əˈprəʊprɪeɪt
instead	ɪnˈsted
campaign	kæmˈpeɪn
almost	ˈɔːlməʊst
Hello	həˈləʊ
February	ˈfebrʊ(ə)rɪ
i	aɪ
specific	spəˈsɪfɪk
players	ˈpleɪəz
To	tuː
hit	hɪt
Obama	əʊˈbɑːmə
User	ˈjuːzə
President	ˈprezɪd(ə)nt
World	wɜːld
names	neɪmz
past	pɑːst
night	naɪt
least	liːst
age	eɪdʒ
note	nəʊt
social	ˈsəʊʃ(ə)l
management	ˈmænɪdʒmənt
considered	kənˈsɪdəd
standard	ˈstændəd
months	mʌnθs
idea	aɪˈdɪə
deal	diːl
attack	əˈtæk
student	ˈstjuːd(ə)nt
check	tʃek
post	pəʊst
Now	naʊ
behind	bɪˈhaɪnd
adding	ˈædɪŋ
science	ˈsaɪəns
South	saʊθ
alt	ælt
references	ˈrefrənsɪz
security	sɪˈkjʊərɪtɪ
Some	sʌm
games	ɡeɪmz
situation	ˌsɪtʃʊˈeɪʃ(ə)n
third	θɜːd
race	reɪs
cases	ˈkeɪsɪz
guidelines	ˈɡaɪdlaɪnz
force	fɔːs
German	ˈdʒɜːmən
human	ˈhjuːmən
light	laɪt
version	ˈvɜːʃ(ə)n
organization	ˌɔːɡənaɪˈzeɪʃ(ə)n
named	neɪmd
Germany	ˈdʒɜːmənɪ
official	əˈfɪʃ(ə)l
international	ˌɪntəˈnæʃ(ə)nəl
release	rɪˈliːs
role	rəʊl
block	blɒk
published	ˈpʌblɪʃt
character	ˈkærəktə
correct	kəˈrekt
rule	ruːl
song	sɒŋ
six	sɪks
visit	ˈvɪzɪt
Mr	ˈmɪstə
value	ˈvæljuː
video	ˈvɪdɪəʊ
usually	ˈjuːʒəlɪ
big	bɪɡ
taken	ˈteɪkən
hope	həʊp
claims	kleɪmz
sometimes	ˈsʌmtaɪmz
needed	ˈniːdɪd
activities	ækˈtɪvətɪz
Washington	ˈwɒʃɪŋtən
everything	ˈevrɪθɪŋ
club	klʌb
remove	rɪˈmuːv
town	taʊn
certain	ˈsɜːt(ə)n
similar	ˈsɪmələ
uses	ˈjuːsɪz
close	kləʊs
player	ˈpleɪə
rights	raɪts
North	nɔːθ
Canada	ˈkænədə
single	ˈsɪŋɡ(ə)l
paper	ˈpeɪpə
potential	pəˈtenʃ(ə)l
economy	ɪˈkɒnəmɪ
appear	əˈpɪə
society	səˈsaɪətɪ
proposed	prəˈpəʊzd
West	west
resources	rɪˈzɔːsɪz
search	sɜːtʃ
cause	kɔːz
win	wɪn
National	ˈnæʃ(ə)n(ə)l
election	ɪˈlekʃ(ə)n
hand	hænd
editor	ˈedɪtə
seems	siːmz
ago	əˈɡəʊ
consensus	kənˈsensəs
am	æm
entry	ˈentrɪ
result	rɪˈzʌlt
far	fɑː
style	staɪl
wrote	rəʊt
personal	ˈpɜːsən(ə)l
effect	ɪˈfekt
live	laɪv
online	ˈɒnˌlaɪn
Israel	ˈɪzreɪ(ə)l
includes	ɪnˈkluːdz
become	bɪˈkʌm
growth	ɡrəʊθ
Japan	dʒəˈpæn
share	ʃeə
complete	kəmˈpliːt
young	jʌŋ
earlier	ˈɜːlɪə
across	əˈkrɒs
Hi	haɪ
products	ˈprɒdʌkts
United	jʊˈnaɪtɪd
released	rɪˈliːst
His	hɪz
playing	ˈpleɪɪŋ
car	kɑː
notable	ˈnəʊtəb(ə)l
Congress	ˈkɒŋɡres
Although	ɔːlˈðəʊ
offer	ˈɒfə
child	tʃaɪld
bad	bæd
network	ˈnetwɜːk
notice	ˈnəʊtɪs
energy	ˈenədʒɪ
knowledge	ˈnɒlɪdʒ
European	ˌjʊərəˈpɪən
sandbox	ˈsændˌbɑːks
asked	ɑːskt
sites	saɪts
pay	peɪ
understand	ˌʌndəˈstænd
reports	rɪˈpɔːts
product	ˈprɒdʌkt
poor	pʊə
return	rɪˈtɜːn
short	ʃɔːt
running	ˈrʌnɪŋ
constructive	kənˈstrʌktɪv
reading	ˈredɪŋ
half	hɑːf
currently	ˈkʌrəntlɪ
required	rɪˈkwaɪəd
culture	ˈkʌltʃə
software	ˈsɒftweə
nor	nɔː
projects	prəˈdʒekts
Scotland	ˈskɒtlənd
match	mætʃ
cost	kɒst
upon	əˈpɒn
benefits	ˈbenɪfɪts
First	fɜːst
success	s(ə)kˈses
My	maɪ
established	ɪˈstæblɪʃt
David	ˈdeɪvɪd
parents	ˈpeərənts
private	ˈpraɪvɪt
property	ˈprɒpətɪ
quality	ˈkwɒlɪtɪ
key	kiː
whose	huːz
sense	sens
theory	ˈθɪərɪ
numbers	ˈnʌmbəz
clearly	ˈklɪəlɪ
Chinese	tʃaɪˈniːz
continue	kənˈtɪnjuː
treatment	ˈtriːtmənt
access	ˈækses
living	ˈlɪvɪŋ
late	leɪt
total	ˈtəʊt(ə)l
file	faɪl
band	bænd
month	mʌnθ
species	ˈspiːʃiːz
consider	kənˈsɪdə
By	baɪ
original	əˈrɪdʒ(ə)nəl
answer	ˈɑːnsə
From	frɒm
black	blæk
conditions	kənˈdɪʃ(ə)nz
air	eə
involved	ɪnˈvɒlvd
century	ˈsentʃ(ə)rɪ
leading	ˈliːdɪŋ
fire	ˈfaɪə
art	ɑːt
opinion	əˈpɪnɪən
final	ˈfaɪn(ə)l
yourself	jɔːˈself
gave	ɡeɪv
environment	ɪnˈvaɪərənmənt
saw	sɔː
debate	dɪˈbeɪt
costs	kɒsts
developed	dɪˈveləpt
economic	ˌiːkəˈnɒmɪk
try	traɪ
Britain	ˈbrɪt(ə)n
therefore	ˈðeəfɔː
category	ˈkætəɡ(ə)rɪ
white	waɪt
friends	frendz
type	taɪp
cut	kʌt
station	ˈsteɪʃ(ə)n
church	tʃɜːtʃ
template	ˈtemplɪt
Not	nɒt
myself	maɪˈself
risk	rɪsk
mind	maɪnd
via	ˈvaɪə
Texas	ˈteksəs
hours	ˈaʊəz
War	wɔː
generally	ˈdʒen(ə)rəlɪ
particular	pəˈtɪkjʊlə
alone	əˈləʊn
likely	ˈlaɪklɪ
board	bɔːd
structure	ˈstrʌktʃə
significant	sɪɡˈnɪfɪkənt
tax	tæks
approach	əˈprəʊtʃ
hard	hɑːd
movement	ˈmuːvmənt
provides	prəˈvaɪdz
legal	ˈliːɡ(ə)l
went	went
inside	ɪnˈsaɪd
sentence	ˈsentəns
workers	ˈwɜːkəz
related	rɪˈleɪtɪd
analysis	əˈnæləsɪs
simple	ˈsɪmp(ə)l
terms	tɜːmz
ones	wʌnz
especially	ɪsˈpeʃ(ə)lɪ
College	ˈkɒlɪdʒ
remains	rɪˈmeɪnz
topic	ˈtɒpɪk
directly	dɪˈrektlɪ
rate	reɪt
turn	tɜːn
career	kəˈrɪə
sign	saɪn
necessary	ˈnesəs(ə)rɪ
quite	kwaɪt
meaning	ˈmiːnɪŋ
application	ˌæplɪˈkeɪʃ(ə)n
recently	ˈriːs(ə)ntlɪ
families	ˈfæməlɪz
status	ˈsteɪtəs
strong	strɒŋ
percent	pəˈsent
Russian	ˈrʌʃ(ə)n
Iraq	ɪˈrɑːk
individuals	ˌɪndɪˈvɪdʒʊəlz
capital	ˈkæpɪt(ə)l
studies	ˈstʌdɪz
described	dɪˈskraɪbd
reliable	rɪˈlaɪəb(ə)l
due	djuː
killed	kɪld
encyclopedia	ɪnˌsaɪkləˈpiːdɪə
Your	jə
blocked	blɒkt
room	ruːm
How	haʊ
low	ləʊ
built	bɪlt
cover	ˈkʌvə
giving	ˈɡɪvɪŋ
worked	wɜːkt
However	haʊˈevə
brought	brɔːt
https	https
contact	ˈkɒntækt
speedy	ˈspiːdɪ
special	ˈspeʃ(ə)l
features	ˈfiːtʃəz
size	saɪz
warning	ˈwɔːnɪŋ
woman	ˈwʊmən
appears	əˈpɪəz
create	kriːˈeɪt
lives	laɪvz
standards	ˈstændədz
author	ˈɔːθə
relevant	ˈreləvənt
James	dʒeɪmz
function	ˈfʌŋkʃ(ə)n
These	ðiːz
particularly	pəˈtɪkjʊləlɪ
operations	ˌɒpəˈreɪʃ(ə)nz
produced	prəˈdjuːst
higher	ˈhaɪə
plans	plænz
despite	dɪˈspaɪt
goal	ɡəʊl
modern	ˈmɒd(ə)n
base	beɪs
reasons	ˈriːzənz
maybe	meɪbiː
fall	fɔːl
Council	ˈkaʊns(ə)l
Iran	ɪˈrɑːn
competition	ˌkɒmpəˈtɪʃ(ə)n
stage	steɪdʒ
coming	ˈkʌmɪŋ
II	tuː
dead	ded
track	træk
popular	ˈpɒpjʊlə
Church	tʃɜːtʃ
beyond	bɪˈjɒnd
oil	ɔɪl
increase	ɪnˈkriːs
mentioned	ˈmenʃ(ə)nd
additional	əˈdɪʃ(ə)nəl
details	ˈdiːteɪlz
college	ˈkɒlɪdʒ
response	rɪˈspɒns
stuff	stʌf
died	daɪd
table	ˈteɪb(ə)l
C	siː
Since	sɪns
led	led
university	ˌjuːnɪˈvɜːsɪtɪ
activity	ækˈtɪvətɪ
sound	saʊnd
officials	əˈfɪʃ(ə)lz
existing	ɪɡˈzɪstɪŋ
mother	ˈmʌðə
focus	ˈfəʊkəs
trade	treɪd
financial	faɪˈnænʃ(ə)l
leaders	ˈliːdəz
moment	ˈməʊmənt
computer	kəmˈpjuːtə
leader	ˈliːdə
soon	suːn
sales	seɪlz
moved	muːvd
International	ˌɪntəˈnæʃ(ə)nəl
patients	peɪʃnts
hospital	ˈhɒspɪt(ə)l
certainly	ˈsɜːt(ə)nlɪ
useful	ˈjuːsfəl
allowed	əˈlaʊd
father	ˈfɑːðə
code	kəʊd
http	ˌetʃtɪtɪˈpiː
act	ækt
jobs	dʒɒbz
director	dɪˈrektə
son	sʌn
King	kɪŋ
facts	fækts
Americans	əˈmerɪkənz
road	rəʊd
Government	ˈɡʌvənmənt
continued	kənˈtɪnjuːd
argument	ˈɑːɡjʊmənt
politics	ˈpɒlɪtɪks
employees	ˌemplɔɪˈiːz
East	iːst
takes	teɪks
nature	ˈneɪtʃə
previous	ˈpriːvɪəs
An	æn
forces	ˈfɔːsɪz
write	raɪt
allow	əˈlaʊ
Also	ˈɔːlsəʊ
providing	prəˈvaɪdɪŋ
safety	ˈseɪftɪ
center	ˈsentə
born	bɔːn
leaving	ˈliːvɪŋ
York	jɔːk
price	praɪs
records	rɪˈkɔːdz
places	ˈpleɪsɪz
Just	dʒəst
location	ləʊˈkeɪʃ(ə)n
else	els
increased	ɪnˈkriːst
global	ˈɡləʊb(ə)l
district	ˈdɪstrɪkt
cannot	ˈkænɒt
mention	ˈmenʃ(ə)n
mostly	ˈməʊstlɪ
towards	təˈwɔːdz
Friday	ˈfraɪdeɪ
followed	ˈfɒləʊd
independent	ˌɪndɪˈpendənt
learning	ˈlɜːnɪŋ
disease	dɪˈziːz
doesn	dəʊsn
Japanese	ˌdʒæp(ə)ˈniːz
choice	tʃɔɪs
movie	ˈmuːvɪ
Paul	pɔːl
expected	ɪkˈspektɪd
unless	ənˈles
concerns	kənˈsɜːnz
trial	ˈtraɪ(ə)l
shot	ʃɒt
testing	ˈtestɪŋ
Center	ˈsentə
announced	əˈnaʊnst
challenge	ˈtʃæləndʒ
Labour	ˈleɪbə
religion	rɪˈlɪdʒ(ə)n
looking	ˈlʊkɪŋ
ideas	aɪˈdɪəz
meet	miːt
administration	ədˌmɪnɪˈstreɪʃ(ə)n
TV	ˌtiːˈviː
lower	ˈləʊə
average	ˈæv(ə)rɪdʒ
Is	ɪz
primary	ˈpraɪmərɪ
B	biː
sent	sent
offered	ˈɒfəd
picture	ˈpɪktʃə
traditional	trəˈdɪʃ(ə)nəl
football	ˈfʊtbɔːl
summer	ˈsʌmə
teaching	ˈtiːtʃɪŋ
external	ɪkˈstɜːn(ə)l
operation	ˌɒpəˈreɪʃ(ə)n
whole	həʊl
federal	ˈfed(ə)r(ə)l
copyright	ˈkɒpɪraɪt
teams	tiːmz
violence	ˈvaɪələns
Michael	ˈmaɪk(ə)l
produce	prəˈdjuːs
reached	riːtʃt
professional	prəˈfeʃnəl
figure	ˈfɪɡə
Australian	ɒˈstreɪlɪən
George	dʒɔːdʒ
closed	kləʊzd
longer	ˈlɒŋɡə
fine	faɪn
attention	əˈtenʃ(ə)n
discuss	dɪˈskʌs
ground	ɡraʊnd
lines	laɪnz
characters	ˈkærəktəz
weeks	wiːks
comes	kʌmz
bill	bɪl
ways	weɪz
laws	lɔːz
Sunday	ˈsʌndeɪ
press	pres
seven	ˈsev(ə)n
paid	peɪd
successful	s(ə)kˈsesfʊl
County	ˈkaʊntɪ
sold	səʊld
learn	lɜːn
applications	ˌæplɪˈkeɪʃ(ə)nz
diff	dɪf
complex	ˈkɒmpleks
hold	həʊld
context	ˈkɒntekst
natural	ˈnætʃ(ə)r(ə)l
bank	bæŋk
agree	əˈɡriː
member	ˈmembə
thinking	ˈθɪŋkɪŋ
Union	ˈjuːnɪən
unit	ˈjuːnɪt
materials	məˈtɪərɪəlz
listed	ˈlɪstɪd
wanted	ˈwɒntɪd
gets	ɡets
main	meɪn
efforts	ˈefəts
indeed	ɪnˈdiːd
People	ˈpiːp(ə)l
loss	lɒs
gives	ɡɪvz
scored	skɔːd
Monday	ˈmʌndeɪ
proposal	prəˈpəʊz(ə)l
Ireland	ˈaɪələnd
basis	ˈbeɪsɪs
faculty	ˈfæk(ə)ltɪ
follow	ˈfɒləʊ
department	dɪˈpɑːtmənt
quickly	ˈkwɪklɪ
effort	ˈefət
although	ɔːlˈðəʊ
District	ˈdɪstrɪkt
web	web
conflict	kənˈflɪkt
delete	dɪˈliːt
thus	ðʌs
immediately	ɪˈmiːdɪətlɪ
actions	ˈækʃ(ə)nz
organizations	ˌɔːɡənaɪˈzeɪʃ(ə)nz
however	haʊˈevə
teachers	ˈtiːtʃəz
notability	ˌnəʊtəˈbɪlɪtɪ
Internet	ˈɪntənet
limited	ˈlɪmɪtɪd
Court	kɔːt
solution	səˈluːʃ(ə)n
Africa	ˈæfrɪkə
Park	pɑːk
except	ɪkˈsept
normal	ˈnɔːm(ə)l
construction	kənˈstrʌkʃ(ə)n
authority	ɔːˈθɒrətɪ
agency	ˈeɪdʒ(ə)nsɪ
moving	ˈmuːvɪŋ
billion	ˈbɪlɪəŋ
raised	reɪzd
creating	kriːˈeɪtɪŋ
Florida	ˈflɒrɪdə
target	ˈtɑːɡɪt
requirements	rɪˈkwaɪəmənts
equipment	ɪˈkwɪpmənt
Act	ækt
Department	dɪˈpɑːtmənt
contract	kənˈtrækt
attacks	əˈtæks
planning	ˈplænɪŋ
customers	ˈkʌstəməz
benefit	ˈbenɪfɪt
concern	kənˈsɜːn
Group	ɡruːp
possibly	ˈpɒsəblɪ
heard	hɜːd
agreement	əˈɡriːmənt
automatically	ˌɔːtəˈmætɪk(ə)lɪ
parties	ˈpɑːtɪz
Tuesday	ˈtjuːzdɪ
multiple	ˈmʌltɪp(ə)l
document	ˈdɒkjʊment
Italy	ˈɪtəlɪ
addition	əˈdɪʃ(ə)n
developing	dɪˈveləpɪŋ
conference	ˈkɒnf(ə)r(ə)ns
influence	ˈɪnflʊəns
Christian	ˈkrɪstʃən
require	rɪˈkwaɪə
Why	waɪ
otherwise	ˈʌðəwaɪz
fans	fænz
critical	ˈkrɪtɪk(ə)l
Association	əˌsəʊʃɪˈeɪʃ(ə)n
completely	kəmˈpliːtlɪ
bring	brɪŋ
fight	faɪt
wikipedia	ˌwɪkɪˈpiːdɪə
round	raʊnd
criteria	kraɪˈtɪərɪə
skills	skɪlz
goals	ɡəʊlz
stated	ˈsteɪtɪd
map	mæp
trying	ˈtraɪɪŋ
nearly	ˈnɪəlɪ
apparently	əˈpær(ə)ntlɪ
medical	ˈmedɪk(ə)l
village	ˈvɪlɪdʒ
