,Word,Number_of_edges
353,jerk,8
354,ameba,1
355,choice,4
356,embark,2
357,gloomy,15
358,rationality,1
359,knapsack,2
360,stays,18
361,exact,5
362,minute,18
363,cooky,1
364,roundworm,2
365,specked,3
366,lengthened,2
367,bagging,2
368,bakeshop,1
369,lavishness,3
370,celebrated,13
371,geography,1
372,boost,6
373,utricle,1
374,draftee,2
375,blunted,4
376,pedagogic,1
377,restiveness,2
378,address,23
379,dwindling,2
380,enroll,1
381,shamelessness,1
382,impacted,4
383,fivesome,4
384,accomplished,13
385,sprouted,5
386,thorazine,1
387,vituperation,2
388,cacophony,2
389,abase,11
390,neology,1
391,opposer,1
392,working,26
393,untaught,1
394,sisterly,1
395,vigour,2
396,opposed,9
397,wank,1
398,dampness,1
399,tinea,1
400,approving,5
401,disparagement,1
402,originally,1
403,abortion,1
404,harmonious,1
405,following,19
406,ammonite,1
407,admired,1
408,lodestone,1
409,stetson,2
410,matzo,2
411,admirer,2
412,atorvastatin,1
413,bibliographical,1
414,cocksucker,3
415,cecal,1
416,epidemiologic,1
417,fueled,2
418,echidna,1
419,atar,1
420,egotistical,2
421,temperate,1
422,surfing,3
423,conscious,11
424,puller,1
425,pullet,2
426,sandbox,2
427,swollen,2
428,thundery,2
429,blowup,2
430,scandalmongering,1
431,clews,2
432,yearn,1
433,wormlike,1
434,overlord,1
435,disconnect,1
436,antipathy,12
437,mundaneness,1
438,suspension,10
439,troubled,15
440,apron,2
441,overpowering,5
442,drilling,5
443,unsusceptible,1
444,bedevil,3
445,plunk,9
446,pealing,1
447,instability,2
448,quarter,3
449,quartet,5
450,retrieve,2
451,receipt,1
452,unlikelihood,1
453,sponsor,2
454,entering,15
455,prudently,1
456,sniffly,1
457,troll,1
458,utilise,1
459,seriously,1
460,internet,1
461,macedon,1
462,realisation,4
463,columbarium,1
464,hairdresser,3
465,complicated,4
466,grandma,3
467,dissonant,3
468,oblateness,1
469,modest,2
470,initiate,9
471,quibble,4
472,neglect,25
473,saving,17
474,symmetry,1
475,spoken,7
476,one,1
477,punishable,1
478,periodical,2
479,stifled,10
480,lingering,8
481,snuffers,1
482,snatch,8
483,ascendance,3
484,anthropomorphous,1
485,crossroads,6
486,judiciousness,1
487,wandering,26
488,ascendancy,1
489,illness,2
490,turned,16
491,beehive,1
492,erudition,3
493,fashionable,2
494,washbasin,2
495,handshaking,1
496,printer,1
497,bordello,1
498,buffer,6
499,discerning,6
500,buffet,2
501,ascendence,2
502,sainted,4
503,evaluator,1
504,cryptanalysis,1
505,unpronounceable,1
506,cardiography,1
507,captivatingly,2
508,touchy,1
509,jitters,1
510,jittery,2
511,phiz,3
512,friction,2
513,fecal,1
514,elan,4
515,inconsistent,1
516,aggressive,2
517,reconciling,8
518,transact,8
519,coaxing,6
520,betrothal,1
521,hindmost,1
522,guarded,5
523,mechanization,1
524,testudines,1
525,anachronic,2
526,perspicacity,2
527,pimp,4
528,hotness,2
529,homeopathy,1
530,tike,5
531,vision,2
532,morose,15
533,noisier,1
534,attenuated,1
535,unaccented,1
536,intoxicating,6
537,mitigative,2
538,alarming,6
539,stannic,1
540,kilometer,2
541,refreshed,4
542,vender,2
543,illiberal,1
544,moony,1
545,analyzer,1
546,menacing,10
547,aggrandise,2
548,concentrated,14
549,circumference,1
550,biquadratic,1
551,paring,6
552,semitic,1
553,grooming,7
554,fix,6
555,roominess,1
556,allowance,2
557,glutinous,6
558,buoyancy,1
559,west,2
560,practised,5
561,formed,12
562,geothermal,1
563,unconditioned,1
564,abject,1
565,former,4
566,pretence,6
567,revelatory,2
568,newspaper,2
569,situation,1
570,unlikeable,3
571,engaged,22
572,dubious,2
573,obtuse,2
574,limping,6
575,hermaphrodite,2
576,technology,1
577,debilitating,3
578,cafe,1
579,ingrained,5
580,reanimate,4
581,gelding,1
582,mercilessness,1
583,edged,9
584,hideaway,1
585,deft,2
586,defy,2
587,constraining,9
588,wired,5
589,advertisement,3
590,tracking,8
591,excused,11
592,befittingly,1
593,steamed,10
594,being,12
595,disconcert,1
596,apparitional,4
597,steamer,2
598,carpetbag,1
599,rover,2
600,generator,2
601,occluded,5
602,plumed,15
603,grounder,2
604,dicky,3
605,overthrow,3
606,haystack,1
607,zion,4
608,diphenhydramine,1
609,rajput,1
610,preference,3
611,world,14
612,babylonian,1
613,sensational,1
614,unrepentant,3
615,superiority,1
616,glamor,1
617,obstruct,14
618,seating,4
619,pulverized,5
620,pleating,3
621,anglicization,1
622,tumbrel,1
623,demeaning,6
624,diving,2
625,divine,15
626,inflexibility,2
627,cavity,2
628,seaman,1
629,decrescendo,1
630,transmutation,1
631,squabble,2
632,disparaging,2
633,leadership,1
634,endogamy,1
635,cycling,7
636,prepared,14
637,exasperating,8
638,overladen,1
639,rumpus,1
640,individualize,1
641,sonority,1
642,rabbinical,1
643,perturbed,9
644,unpractised,1
645,ineffably,3
646,cowhide,1
647,ineffable,2
648,lively,11
649,pivot,1
650,bubbly,6
651,trussed,3
652,glean,1
653,mindless,5
654,harpsichord,1
655,sealed,3
656,bubble,4
657,neglectful,1
658,corvus,1
659,pasteurize,1
660,abused,9
661,pull,15
662,rush,19
663,tripe,2
664,dirty,17
665,rust,3
666,patois,3
667,gratuitous,5
668,epaulet,1
669,watcher,1
670,sawhorse,1
671,ensuing,2
672,creak,1
673,jargon,4
674,tremble,1
675,slobber,1
676,cream,3
677,moniker,3
678,favoritism,1
679,sympathetically,1
680,woodgrain,1
681,waving,7
682,midget,5
683,intimation,3
684,brotherhood,3
685,infirmity,1
686,tricky,3
687,omnibus,6
688,thorn,2
689,kilogram,1
690,curate,3
691,representationalism,1
692,roadway,1
693,baton,3
694,burgher,1
695,floater,2
696,grannie,1
697,rootless,2
698,developing,20
699,sang,7
700,sand,2
701,sane,1
702,sana,1
703,small,10
704,conceptualize,1
705,abbreviated,7
706,quicker,13
707,healed,3
708,past,1
709,burnish,1
710,pass,53
711,investment,2
712,quicken,16
713,strep,3
714,clock,1
715,palatal,2
716,pliancy,1
717,corked,2
718,greenness,1
719,full,8
720,daunted,5
721,provably,1
722,experience,4
723,prior,1
724,periodic,2
725,cessation,1
726,skepticism,2
727,dehumanized,4
728,ischia,1
729,depart,2
730,retroactive,1
731,reclaimed,8
732,uprise,5
733,follower,1
734,attendance,1
735,enliven,2
736,unrecognizable,1
737,fragrance,1
738,immobilizing,5
739,more,1
740,door,2
741,tester,2
742,kerosene,1
743,corrected,13
744,testee,1
745,tested,7
746,lameness,4
747,nonviolent,2
748,doom,2
749,millenary,1
750,thickest,1
751,knocker,4
752,learn,8
753,scramble,7
754,bogy,2
755,concordant,3
756,particularized,6
757,huge,4
758,respective,3
759,hickey,1
760,enlarge,6
761,dismissed,11
762,sprinkle,9
763,lanky,1
764,intended,7
765,mender,1
766,thickened,2
767,disgraced,10
768,variant,8
769,gdansk,1
770,malevolent,3
771,diarchy,1
772,twisting,26
773,groundsman,1
774,troglodyte,1
775,everlastingly,2
776,wooly,5
777,sertraline,1
778,peppy,1
779,bocci,1
780,scots,3
781,smiling,4
782,cheerfulness,4
783,roots,16
784,saucy,4
785,mistreated,6
786,tantalizingly,1
787,bangle,4
788,stricture,1
789,shuddering,4
790,bypass,1
791,speedily,1
792,focussed,8
793,unstated,2
794,universality,1
795,bigheaded,2
796,frizzy,1
797,weeds,9
798,barefaced,5
799,fatalism,1
800,autocracy,1
801,overemphasise,1
802,courser,1
803,courses,1
804,piping,6
805,directionless,3
806,repayment,1
807,shocking,10
808,chipping,3
809,chevron,1
810,numeric,2
811,treasonable,2
812,operation,10
813,remittal,2
814,shepherdess,1
815,prickling,3
816,obdurately,1
817,inquirer,4
818,triennial,2
819,impudence,12
820,luxuriousness,1
821,bedlam,5
822,outfitted,2
823,airway,1
824,plowing,9
825,definition,8
826,purport,1
827,brutally,1
828,preservation,2
829,sequester,5
830,swipe,6
831,moderately,3
832,excitable,1
833,saint,3
834,aver,1
835,kindergartner,1
836,ilium,1
837,peaceably,1
838,justly,1
839,bushwhacking,6
840,discombobulate,2
841,parsimonious,1
842,stifle,9
843,ungrateful,2
844,getaway,1
845,hyperlipidemia,1
846,tummy,1
847,dismantling,8
848,smocking,1
849,synergism,1
850,graffito,1
851,blond,1
852,conjugate,1
853,cleverness,2
854,sell,1
855,permanence,1
856,also,6
857,corroboratory,4
858,jostle,2
859,conscription,1
860,immeasurable,2
861,singles,3
862,singlet,2
863,raucous,3
864,slovene,1
865,omaha,1
866,arson,1
867,seize,5
868,stoning,2
869,disembarkation,1
870,barred,10
871,barren,7
872,barrel,2
873,wording,6
874,unimportance,1
875,exterminate,10
876,agonize,1
877,blended,11
878,affix,1
879,indecorum,1
880,haematopoietic,2
881,baneful,1
882,occupation,2
883,access,2
884,gooey,1
885,snobbism,1
886,snobbish,1
887,unknowledgeable,1
888,atheistic,1
889,secular,6
890,remedy,8
891,sunna,1
892,veneering,1
893,compass,9
894,ninjutsu,1
895,holograph,1
896,sunni,1
897,distraction,1
898,incapacitated,4
899,sojourn,1
900,insane,2
901,delicately,1
902,bozo,1
903,bundling,6
904,slanting,8
905,analog,2
906,project,11
907,unrealized,1
908,ablated,1
909,thrive,1
910,oxidize,1
911,synchronizing,8
912,untouched,2
913,demoniac,1
914,lass,1
915,last,21
916,provocatively,1
917,opah,1
918,connection,6
919,retarded,5
920,lash,10
921,bell,6
922,provos,1
923,aforethought,1
924,adaptation,4
925,primordium,1
926,belt,5
927,unarguably,1
928,extravagant,2
929,capsid,1
930,treatment,3
931,counselling,2
932,mildness,2
933,adaptable,1
934,moderation,4
935,awake,5
936,pacemaker,1
937,mournful,2
938,expanded,13
939,empirical,1
940,admire,12
941,spitefulness,2
942,cagey,3
943,pressed,19
944,looter,2
945,agitation,7
946,xian,1
947,enlace,1
948,barbecuing,2
949,outermost,1
950,ugliness,2
951,foundational,1
952,flooded,8
953,cryptically,2
954,nickname,4
955,climb,5
956,infamous,1
957,looted,10
958,accusative,2
959,salve,6
960,swilling,3
961,lady,4
962,depravity,4
963,comprehensible,1
964,closedown,1
965,indonesian,1
966,emergency,1
967,couple,7
968,affaire,1
969,emergence,4
970,abduct,1
971,marquee,2
972,spine,7
973,spiny,2
974,bogie,1
975,explainable,1
976,goddamn,2
977,bounce,7
978,bouncy,3
979,greener,4
980,underbelly,1
981,pharisaical,1
982,sorbed,1
983,rofecoxib,1
984,firecracker,1
985,benefit,3
986,behave,3
987,catmint,1
988,seclusion,1
989,trotskyist,1
990,gremlin,2
991,fretfulness,1
992,respite,4
993,boneheaded,1
994,scholasticism,2
995,mnemonics,1
996,deserved,2
997,disjointed,14
998,woodlouse,1
999,wrinkled,10
1000,sepulture,3
1001,readable,2
1002,legalise,5
1003,gerontologist,1
1004,flabby,1
1005,contributor,1
1006,sightseeing,1
1007,clustering,2
1008,span,11
1009,discoid,1
1010,tasting,9
1011,sock,5
1012,mishandle,3
1013,spar,1
1014,redoubled,1
1015,spat,15
1016,considerably,1
1017,jacks,14
1018,peeper,1
1019,barman,3
1020,changeling,3
1021,considerable,3
1022,curbstone,1
1023,charmed,16
1024,positivist,2
1025,paired,7
1026,mujahadin,1
1027,degaussing,2
1028,faded,10
1029,yarmulke,1
1030,unsafe,1
1031,haunt,2
1032,char,6
1033,chap,10
1034,diverse,2
1035,chaw,1
1036,chat,8
1037,surveying,5
1038,intrepid,1
1039,puzzling,14
1040,rhumb,1
1041,idleness,3
1042,underrating,1
1043,revision,4
1044,oblige,1
1045,suppression,1
1046,tendinitis,1
1047,struma,2
1048,defenselessness,1
1049,land,16
1050,phaeton,1
1051,lank,1
1052,crease,8
1053,transient,12
1054,dawning,5
1055,guessing,13
1056,splashing,13
1057,amiss,3
1058,humpback,2
1059,amalgamation,1
1060,braising,1
1061,mimeograph,1
1062,carelessly,3
1063,boatload,1
1064,quadruplet,2
1065,circumnavigate,1
1066,padded,12
1067,detested,4
1068,harbor,5
1069,fewer,1
1070,damning,2
1071,disheveled,5
1072,netlike,4
1073,mishap,2
1074,crook,2
1075,video,1
1076,dynamics,2
1077,sweats,9
1078,waning,2
1079,diamante,2
1080,henceforth,1
1081,turnaround,1
1082,flowing,7
1083,charade,4
1084,feist,1
1085,reduplicate,1
1086,tuition,1
1087,untidiness,1
1088,unbolted,3
1089,unwittingly,2
1090,survey,8
1091,maker,5
1092,galago,1
1093,panicked,2
1094,untangled,7
1095,next,1
1096,assuring,11
1097,humus,1
1098,forewarning,3
1099,babe,2
1100,baby,12
1101,integrating,4
1102,reserves,13
1103,scatter,8
1104,murmuring,8
1105,process,12
1106,lock,15
1107,coolness,4
1108,loco,6
1109,exceptionable,1
1110,uncompensated,1
1111,educational,1
1112,burled,1
1113,comedy,1
1114,intelligent,4
1115,viremia,1
1116,realized,13
1117,awkwardness,7
1118,robot,1
1119,presuppose,1
1120,mute,7
1121,insight,3
1122,perfect,28
1123,broiling,2
1124,equalise,1
1125,derivative,2
1126,alkene,1
1127,snaky,1
1128,creedal,1
1129,seawater,1
1130,snake,2
1131,realize,6
1132,disgorgement,1
1133,reticle,2
1134,ruefully,2
1135,scenic,1
1136,commodious,1
1137,shortage,3
1138,scorch,2
1139,glasses,11
1140,homogeneous,3
1141,bump,8
1142,deficiency,2
1143,spareness,2
1144,boorishness,1
1145,bigfoot,1
1146,bumf,1
1147,pasteurised,3
1148,fundamentally,1
1149,rigging,1
1150,adaptive,1
1151,unwieldy,3
1152,expurgate,1
1153,greedy,9
1154,motorbus,1
1155,initialize,1
1156,chilli,1
1157,decentralising,2
1158,transferable,4
1159,sideward,1
1160,chilly,4
1161,length,2
1162,receding,7
1163,scene,5
1164,soothing,4
1165,scent,1
1166,erstwhile,6
1167,festival,1
1168,opossum,1
1169,sergeant,1
1170,foretelling,22
1171,rootstock,1
1172,stomach,9
1173,quarry,1
1174,devoutly,1
1175,egregious,3
1176,gentile,1
1177,orchestrated,6
1178,false,18
1179,chivalrous,1
1180,interscholastic,1
1181,mustachioed,1
1182,domestication,1
1183,depict,6
1184,dished,2
1185,worldwide,3
1186,jimmies,6
1187,asserting,11
1188,scabrous,1
1189,cipher,15
1190,unsparing,5
1191,placement,5
1192,hyperthyroidism,1
1193,hydrocephalus,1
1194,lots,49
1195,sideslip,1
1196,woolly,6
1197,uncommitted,2
1198,greenhouse,2
1199,inductor,2
1200,unfeathered,1
1201,taps,10
1202,terminal,4
1203,jam,2
1204,tape,2
1205,riding,13
1206,undivided,1
1207,prohibition,2
1208,antagonise,1
1209,sinus,1
1210,wring,4
1211,antagonist,4
1212,rappel,1
1213,stuff,10
1214,raceway,1
1215,strengthened,3
1216,circumscribed,3
1217,lawfully,2
1218,frame,19
1219,flattering,1
1220,skateboarding,1
1221,carboniferous,2
1222,dungeon,2
1223,pageboy,1
1224,destiny,4
1225,insulting,5
1226,thoughtlessness,2
1227,roiled,15
1228,membrane,1
1229,interpolate,2
1230,lawsuit,3
1231,staring,5
1232,perfidious,1
1233,initiatory,1
1234,exalting,13
1235,unreflective,1
1236,suppuration,3
1237,accredited,7
1238,exaggerate,2
1239,undergraduate,1
1240,rougher,6
1241,ultrasonography,2
1242,mailman,1
1243,midland,1
1244,linemen,3
1245,genetic,4
1246,entitle,1
1247,feather,4
1248,antifungal,2
1249,sheepish,1
1250,attest,2
1251,coherence,3
1252,scallywag,2
1253,misguide,1
1254,hateful,1
1255,coherency,2
1256,banish,12
1257,canonised,4
1258,country,2
1259,fielding,1
1260,westerly,2
1261,stuffing,13
1262,barite,1
1263,lascivious,1
1264,ransom,1
1265,denial,3
1266,painstaking,1
1267,stroboscope,1
1268,unsympathetic,5
1269,censoring,2
1270,identity,2
1271,audit,3
1272,corneous,2
1273,off,1
1274,shotgun,1
1275,magnetization,1
1276,newest,1
1277,clocks,2
1278,wee,1
1279,ingeniousness,2
1280,herdsman,1
1281,wet,3
1282,practise,2
1283,humanization,1
1284,pied,1
1285,normalise,1
1286,archeological,2
1287,stooped,6
1288,decidable,1
1289,swineherd,1
1290,megalomaniacal,1
1291,capitulation,2
1292,atrophy,1
1293,tick,2
1294,pier,2
1295,debatable,5
1296,reflectiveness,1
1297,bulge,4
1298,ransomed,3
1299,mistrustful,1
1300,bulgy,1
1301,flickering,6
1302,become,1
1303,verticality,1
1304,immortal,4
1305,flush,23
1306,antecedence,1
1307,humming,3
1308,recognition,2
1309,contested,2
1310,passion,4
1311,copulation,3
1312,biology,1
1313,philhellene,1
1314,manta,1
1315,hooligan,3
1316,pressure,7
1317,posterity,1
1318,imaginary,1
1319,curative,6
1320,documentary,3
1321,swimming,3
1322,concretize,1
1323,letters,2
1324,miscegenation,2
1325,sharpness,6
1326,gastronome,1
1327,cultivated,14
1328,privates,2
1329,terminated,11
1330,pairing,9
1331,providential,2
1332,rhythmic,2
1333,bagger,1
1334,evident,19
1335,bloodline,2
1336,excitement,7
1337,placed,23
1338,tosser,1
1339,plunderer,4
1340,metritis,1
1341,plundered,13
1342,nursed,10
1343,effected,2
1344,nonetheless,1
1345,deadly,10
1346,lately,1
1347,saviour,1
1348,details,5
1349,vulgarize,4
1350,illusion,5
1351,repeat,9
1352,mourner,1
1353,hotheaded,4
1354,repeal,7
1355,exposure,4
1356,searcher,2
1357,torrid,2
1358,compete,1
1359,clamoring,2
1360,magnetic,3
1361,huffy,3
1362,entropy,1
1363,integrity,2
1364,porno,3
1365,stinky,4
1366,ethyne,1
1367,antlion,1
1368,worth,2
1369,alternating,6
1370,amorous,2
1371,aurora,5
1372,replication,6
1373,progression,1
1374,investigator,1
1375,monologue,1
1376,acetylene,2
1377,gasbag,1
1378,depraved,14
1379,declassified,1
1380,baptistery,1
1381,spunky,2
1382,richest,1
1383,undershot,1
1384,ploughed,3
1385,unobjectionable,1
1386,stressed,8
1387,lonesome,4
1388,shadowboxing,1
1389,contrarily,2
1390,cloistered,6
1391,vapors,6
1392,lavatory,3
1393,archaeological,3
1394,compulsively,1
1395,absolution,2
1396,nonpoisonous,1
1397,devastation,1
1398,inculcation,2
1399,plop,3
1400,exacta,1
1401,plod,1
1402,separated,20
1403,bombast,3
1404,chlorpromazine,1
1405,plenitude,1
1406,sobering,1
1407,allies,2
1408,adamant,4
1409,blocking,20
1410,tnt,1
1411,divorced,5
1412,genitalia,3
1413,cuddle,4
1414,elbow,1
1415,untangling,9
1416,souring,5
1417,pollute,1
1418,flunk,2
1419,heartless,1
1420,impair,4
1421,radiotelegraph,1
1422,totaled,6
1423,impassive,2
1424,recovery,3
1425,provide,5
1426,rationed,1
1427,nuts,16
1428,bandaging,2
1429,moron,4
1430,truthful,1
1431,sordidness,1
1432,ladder,2
1433,mortal,5
1434,customs,2
1435,millimeter,1
1436,bared,13
1437,midbrain,1
1438,greediness,2
1439,arch,9
1440,foundering,5
1441,elusive,6
1442,appreciate,2
1443,americanization,1
1444,purging,19
1445,backwoods,2
1446,gumption,1
1447,innovative,2
1448,coiling,9
1449,estrange,1
1450,production,4
1451,understated,4
1452,valor,3
1453,coffee,1
1454,reburying,2
1455,jerking,8
1456,safe,8
1457,sleepiness,2
1458,laconically,2
1459,expressionist,1
1460,roommate,1
1461,penetration,1
1462,coffer,1
1463,basidiomycetes,1
1464,reasonably,6
1465,dingy,13
1466,chlamys,1
1467,reasonable,4
1468,cashmere,1
1469,dumping,6
1470,sled,1
1471,apotheosis,2
1472,slew,5
1473,inadvertently,1
1474,raffles,1
1475,ingenuousness,2
1476,disputed,5
1477,barrier,13
1478,colorless,1
1479,leftovers,2
1480,dashing,14
1481,fastening,7
1482,enlightened,11
1483,lollipop,2
1484,certified,11
1485,drench,1
1486,achira,1
1487,unexpressed,4
1488,autogyro,1
1489,flawless,1
1490,sprig,2
1491,clouding,11
1492,tangibility,1
1493,render,9
1494,synonymous,10
1495,implicated,2
1496,disembark,1
1497,bulrush,2
1498,approximately,2
1499,fumble,10
1500,john,3
1501,labyrinthian,1
1502,chanted,3
1503,emblem,8
1504,offhand,6
1505,perambulator,4
1506,waster,1
1507,enmeshed,3
1508,cereal,1
1509,wasted,25
1510,chantey,1
1511,guild,1
1512,guile,5
1513,encase,1
1514,guilt,1
1515,historical,1
1516,acoustics,1
1517,hologram,1
1518,tautness,1
1519,temporize,1
1520,flavorful,3
1521,enchanted,20
1522,joviality,2
1523,impelled,3
1524,contents,6
1525,praising,1
1526,convenient,4
1527,pinafore,1
1528,thundering,3
1529,enervation,2
1530,unsecured,4
1531,gravy,3
1532,nobody,1
1533,lucre,9
1534,indemnification,2
1535,immediacy,1
1536,germany,1
1537,grave,14
1538,ubiquitousness,1
1539,coatrack,1
1540,swamp,4
1541,aunt,2
1542,repudiation,1
1543,reserve,8
1544,papillary,1
1545,groyne,3
1546,ellipsoid,2
1547,draughtsman,1
1548,nullified,9
1549,imperium,1
1550,manful,2
1551,degradation,3
1552,haunted,7
1553,roundabout,4
1554,behindhand,1
1555,lexington,1
1556,rung,15
1557,scrubbed,4
1558,secretary,2
1559,splotched,1
1560,edited,3
1561,rivulet,2
1562,horrendous,2
1563,optimum,1
1564,garrulity,4
1565,shakti,1
1566,pasted,2
1567,away,3
1568,bracing,11
1569,drawn,28
1570,misguided,3
1571,virgule,1
1572,handful,1
1573,climate,1
1574,retroversion,2
1575,emporium,1
1576,tone,10
1577,nonconformist,2
1578,insubordination,1
1579,anticipatory,1
1580,tons,11
1581,applicability,2
1582,infirm,4
1583,resignation,1
1584,overfeeding,1
1585,hospitalization,1
1586,plebeian,1
1587,excite,1
1588,madhouse,2
1589,attacker,2
1590,imbroglio,1
1591,clairvoyant,1
1592,armoury,1
1593,gracious,6
1594,reciprocal,1
1595,superciliously,1
1596,thrash,8
1597,souse,9
1598,distastefully,2
1599,separatist,1
1600,dizzy,4
1601,cone,2
1602,conk,5
1603,bilious,2
1604,agreeableness,2
1605,survival,1
1606,plainsong,1
1607,wheel,1
1608,fuss,18
1609,crockery,1
1610,recce,1
1611,hang,7
1612,hand,5
1613,fuse,6
1614,rasping,3
1615,humble,6
1616,biogeographical,1
1617,client,2
1618,humbly,2
1619,sullenly,1
